row#,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
134.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
135.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
136.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
137.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
138.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
139.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
140.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
141.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
142.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
143.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
144.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
145.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
146.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
147.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
148.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
149.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
150.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
151.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
152.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
153.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
154.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
155.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
156.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
157.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
158.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
159.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
160.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
161.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
162.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
163.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
164.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
165.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
166.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
167.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
168.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
169.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
170.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
171.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
172.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
173.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
174.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
175.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
176.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
177.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
178.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
179.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
180.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
181.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
182.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
183.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
184.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
185.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
186.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
187.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
188.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
189.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
190.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
191.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
192.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
193.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
194.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
195.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
196.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
197.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
198.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
199.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
200.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
201.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
202.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
203.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
204.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
205.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
206.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
207.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
208.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
209.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
210.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
211.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
212.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
213.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
214.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
215.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
216.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
217.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
218.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
219.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
220.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
221.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
222.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
223.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
224.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
225.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
226.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
227.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
228.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
229.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
230.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
231.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
232.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
233.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
234.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
235.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
236.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
237.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
238.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
239.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
240.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
241.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
242.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
243.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
244.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
245.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
246.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
247.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
248.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
249.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
250.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
251.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
252.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
253.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
254.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
255.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
256.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
257.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
258.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
259.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
260.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
261.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
262.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
263.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
264.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
265.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
266.0,2.0,"shi, „normal”, connexion, judgement, subtitel, discussionsdeb, mention, queri, insight, revision😉",,
267.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
268.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
269.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
270.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
271.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
272.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
273.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
274.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
275.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
276.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
277.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
278.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
279.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
280.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
281.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
282.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
283.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
284.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
285.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
286.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
287.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
288.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
289.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
290.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
291.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
292.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
293.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
294.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
295.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
296.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
297.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
298.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
299.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
300.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
301.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
302.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
303.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
304.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
305.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
306.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
307.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
308.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
309.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
310.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
311.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
312.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
313.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
314.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
315.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
316.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
317.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
318.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
319.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
320.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
321.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
322.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
323.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
324.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
325.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
326.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
327.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
328.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
329.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
330.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
331.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
332.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
333.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
334.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
335.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
336.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
