doc_no,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
7755,7755,6.0,0.2955000102519989,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['organ', 'studi', 'strict', 'schedul', 'dictat', 'lectur']"
7756,7756,9.0,0.550000011920929,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",['option']
7757,7757,3.0,0.5558000206947327,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['prefer', 'dialogu']"
7758,7758,4.0,0.3001999855041504,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['situat', 'feel', 'proper', 'classroom', 'teacher', 'forget']"
7759,7759,7.0,0.45559999346733093,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['forc', 'remain', 'focus', 'ask', 'question', 'hear', 'student', 'particip']"
7760,7760,7.0,0.41019999980926514,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['option', 'speak', 'teacher', 'whilst', 'stay', 'home', 'help', 'manag', 'stay', 'top', 'school', 'work']"
7761,7761,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['learn', 'time']"
7762,7762,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
7763,7763,6.0,0.44290000200271606,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['good', 'time', 'zone', 'watch', 'multipl', 'time']"
7764,7764,6.0,0.4043999910354614,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['role', 'role', 'time', 'style', 'mean', 'stage', 'complet', 'email', 'upload', 'todo', 'mean', 'save', 'time', 'listen', 'zoom', 'call', 'thing']"
7765,7765,6.0,0.31029999256134033,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['back', 'watch', 'multipl', 'time', 'access', 'time', 'suitabl', 'disrupt', 'quarantin', 'schedul']"
7766,7766,3.0,0.5274999737739563,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['it‘', 'audiobook', 'stop', 'start']"
7767,7767,6.0,0.3452000021934509,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['live', 'session', 'lot', 'work', 'silenc', 'teacher', 'question', 'peopl', 'interrupt', 'accid']"
7768,7768,3.0,0.6200000047683716,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['similar', 'normal', 'school', 'normal']"
7769,7769,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher', 'student']"
7770,7770,9.0,0.550000011920929,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",['access']
7771,7771,8.0,0.2824999988079071,"live, content, inform, upload, video, teach, find, abil, chat, activ","['find', 'easier', 'understand', 'content', 'spoken', 'watch', 'point', 'day', 'allow', 'flexibl']"
7772,7772,7.0,0.29260000586509705,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['record', 'lectur', 'understand', 'subject', 'time', 'paus', 'reasearch', 'isnt', 'zoom', 'lesson', 'uni', 'ban', 'record', 'class', 'good']"
7773,7773,1.0,0.22030000388622284,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['watch', 'convieni', 'time', 'paus', 'note']"
7774,7774,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['forc', 'attend']"
7775,7775,5.0,0.4147000014781952,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['hear', 'inform', 'deliv', 'read']"
7776,7776,7.0,0.30000001192092896,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['live', 'class', 'close', 'actual', 'interact', 'lack']"
7777,7777,6.0,0.6980000138282776,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['attend', 'lazi']"
7778,7778,7.0,0.3287000060081482,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['lot', 'stuff', 'left', 'email', 'delay', 'question', 'answer', 'video', 'call', 'great', 'live', 'answer', 'question', 'make', 'feel', 'call', 'class', 'lectur']"
7779,7779,5.0,0.3666999936103821,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['human', 'feel']"
7780,7780,4.0,0.31540000438690186,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['dont', 'stick', 'specif', 'time', 'watch', 'watch', 'lectur', 'time', 'understand', 'back', 'forward', 'stop']"
7781,7781,9.0,0.5249999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'materi', 'pace']"
7782,7782,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
7783,7783,1.0,0.33239999413490295,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['access', 'time', 'suit', 'pauserewind', 'easili', 'make', 'note']"
7784,7784,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['class', 'time']"
7785,7785,1.0,0.3499999940395355,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['stop', 'note', 'note', 'time', 'question']"
7786,7786,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'classmat', 'teacher']"
7787,7787,1.0,0.3499999940395355,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'paus', 'follow', 'back', 'materi']"
7788,7788,5.0,0.2750000059604645,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['visual', 'listen', 'explain']"
7789,7789,8.0,0.35100001096725464,"live, content, inform, upload, video, teach, find, abil, chat, activ","['sort', 'facetofac', 'teach', 'chanc', 'peopl', 'cope']"
7790,7790,9.0,0.30309998989105225,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['art', 'school', 'work', '90', 'practic', 'stop', 'practic', 'element', 'teach', 'onlin', 'access', 'materi', 'studiosworkshop', 'practic', 'modul', 'design', 'histori', 'email', 'poor', 'internet', 'access', 'meant', 'access', 'long', 'view', 'zoom', 'lectur', 'connect', 'poor', 'freez', 'issu', 'made', 'harder']"
7791,7791,7.0,0.26840001344680786,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['make', 'feel', 'im', 'part', 'commun', 'connect', 'peopl', 'question', 'real', 'time', 'teacher', 'respond', 'make', 'feel']"
