,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
243.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
244.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
245.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
246.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
247.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
248.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
249.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
250.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
251.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
252.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
253.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
254.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
255.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
256.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
257.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
258.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
259.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
260.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
261.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
262.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
263.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
264.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
265.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
266.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
267.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
268.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
269.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
270.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
271.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
272.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
273.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
274.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
275.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
276.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
277.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
278.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
279.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
280.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
281.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
282.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
283.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
284.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
285.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
286.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
287.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
288.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
289.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
290.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
291.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
292.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
293.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
294.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
295.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
296.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
297.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
298.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
299.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
300.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
301.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
302.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
303.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
304.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
305.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
306.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
307.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
308.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
309.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
310.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
311.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
312.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
313.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
314.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
315.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
316.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
317.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
318.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
319.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
320.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
321.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
322.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
323.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
324.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
325.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
326.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
327.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
328.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
329.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
330.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
331.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
332.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
333.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
334.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
335.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
336.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
337.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
338.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
339.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
340.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
341.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
