,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
132.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
133.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
134.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
135.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
136.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
137.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
138.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
139.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
140.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
141.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
142.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
143.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
144.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
145.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
146.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
147.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
148.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
149.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
150.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
151.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
152.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
153.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
154.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
155.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
156.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
157.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
158.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
159.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
160.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
161.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
162.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
163.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
164.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
165.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
166.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
167.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
168.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
169.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
170.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
171.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
172.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
173.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
174.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
175.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
176.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
177.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
178.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
179.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
180.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
181.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
182.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
183.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
184.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
185.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
186.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
187.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
188.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
189.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
190.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
191.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
192.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
193.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
194.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
195.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
196.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
197.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
198.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
199.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
200.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
201.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
202.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
203.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
204.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
205.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
206.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
207.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
208.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
209.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
210.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
211.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
212.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
213.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
214.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
215.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
216.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
217.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
218.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
219.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
220.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
221.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
222.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
223.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
224.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
225.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
226.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
227.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
