,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
161.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
162.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
163.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
164.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
165.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
166.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
167.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
168.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
169.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
170.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
171.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
172.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
173.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
174.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
175.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
176.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
177.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
178.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
179.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
180.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
181.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
182.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
183.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
184.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
185.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
186.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
187.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
188.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
189.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
190.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
191.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
192.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
193.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
194.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
195.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
196.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
197.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
198.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
199.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
200.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
201.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
202.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
203.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
204.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
