,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
127.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
128.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
129.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
130.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
131.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
132.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
133.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
134.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
135.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
136.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
137.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
138.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
139.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
140.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
141.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
142.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
143.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
144.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
145.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
146.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
147.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
148.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
149.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
150.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
151.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
152.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
153.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
154.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
155.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
156.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
157.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
158.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
159.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
160.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
161.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
162.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
163.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
164.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
165.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
166.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
167.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
168.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
169.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
170.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
171.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
172.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
173.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
174.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
175.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
176.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
177.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
178.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
179.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
180.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
181.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
182.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
183.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
184.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
185.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
186.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
187.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
188.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
189.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
190.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
191.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
192.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
193.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
194.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
195.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
196.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
197.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
198.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
199.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
200.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
201.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
202.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
203.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
204.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
205.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
206.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
207.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
208.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
209.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
210.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
211.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
